Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,fastest_lap,dnf,penalties_time
0,0,0,0,0,25.975,20,18,0,4000000,61,61,63,63,101,101,102,102,20.112,20.112,22.355,22.355,123.946,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
0.346215,0,0,0,0,25.974,20,18,0,4000000,61,61,63,63,101,101,102,102,20.095,20.095,22.341,22.341,123.946,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
0.84210014,0.053,0.053,0,0,25.971,20,18,0,4000000,93,93,62,62,100,100,102,102,20.083,20.083,22.323,22.323,124.982,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
1.3464237,0.057,0.058,0,0,25.968,20,18,0,4000000,86,86,63,63,100,100,101,101,20.076,20.076,22.306,22.306,128.039,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
1.8426671,0.063,0.063,0,0,25.964,20,18,0,4000000,81,81,63,63,100,100,101,101,20.067,20.067,22.289,22.289,133.198,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
2.3418577,0.073,0.074,0,0,25.958,20,18,0,4000000,81,81,64,64,100,100,101,101,20.055,20.056,22.272,22.272,140.612,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
2.8426492,0.095,0.098,0,0,25.951,20,18,0,4000000,85,86,65,65,100,100,100,100,20.046,20.046,22.256,22.256,150.485,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
3.340836,0.114,0.116,0,0,25.943,20,18,0,4000000,84,84,66,66,100,100,100,100,20.037,20.038,22.241,22.241,162.329,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
3.8385582,0.122,0.125,0,0,25.934,20,18,0,3999974,77,77,66,66,99,99,100,100,20.026,20.027,22.226,22.226,177.102,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
4.331145,0.144,0.147,0,0,25.922,20,18,0,4000000,80,80,67,67,99,99,100,100,20.014,20.015,22.211,22.211,194.44,0,0,0,0,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
4.8452315,0.175,0.18,0,0,25.91,20,18,0,3999285.2,81,81,68,68,99,99,99,99,20.004,20.005,22.196,22.196,215.411,0,0,0,367,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
5.33824,0.188,0.192,0,0,25.897,20,18,0,3995155.5,75,75,68,68,99,99,99,99,19.992,19.993,22.182,22.182,237.738,0,0,0,367,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
5.844349,0.199,0.204,0,0,25.882,20,18,0,3989430.8,72,72,68,69,98,99,99,99,19.978,19.979,22.168,22.168,264.432,0,0,0,367,0,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
6.3411145,0.209,0.214,0.001,0,25.87,20,18,0,3988729.8,71,72,69,69,98,98,99,99,19.964,19.965,22.155,22.155,291.574,0,0,0,217,4883,16,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
6.8462043,0.218,0.223,0.002,0.001,25.857,20,18,0,3986356.5,71,71,70,69,98,98,98,98,19.949,19.95,22.141,22.141,322.761,0,0,0,200,2850,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
7.34294,0.237,0.239,0.012,0.012,25.843,20,18,0,3978031.2,73,72,71,70,98,98,98,98,19.935,19.936,22.129,22.128,354.545,0,0,0,200,2850,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
7.8444896,0.245,0.248,0.014,0.013,25.829,20,18,0,3969391.2,71,72,70,70,97,97,98,98,19.921,19.922,22.116,22.116,387.933,0,0,0,167,2133,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
8.3428335,0.252,0.257,0.015,0.014,25.816,20,18,0,3966136.2,71,71,70,70,97,97,98,98,19.907,19.908,22.103,22.103,422.836,0,0,0,167,2133,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
8.846742,0.258,0.263,0.015,0.014,25.803,20,18,0,3957496.2,71,71,70,70,97,97,98,98,19.892,19.894,22.09,22.09,458.851,0,0,0,100,1833,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
9.343425,0.264,0.269,0.015,0.014,25.789,20,18,0,3948856.2,71,71,70,70,97,97,97,97,19.878,19.88,22.077,22.078,496.023,0,0,0,84,1684,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
9.846992,0.27,0.275,0.015,0.014,25.775,20,18,0,3940216.2,71,71,70,70,96,96,97,97,19.864,19.866,22.065,22.065,534.259,0,0,0,84,1600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
10.3436985,0.276,0.281,0.015,0.014,25.761,20,18,0,3931576.2,71,71,70,70,96,96,97,97,19.851,19.852,22.052,22.053,573.462,0,0,0,83,1600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
10.842409,0.288,0.293,0.028,0.028,25.753,20,18,0,3946548.5,72,72,74,73,96,96,97,97,19.839,19.841,22.044,22.044,612.018,0,0,0,84,1600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
11.344775,0.319,0.318,0.058,0.061,25.751,20,18,0,3975386,77,76,78,78,96,96,97,97,19.837,19.838,22.047,22.046,642.808,0,0,0,84,1517,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
11.846605,0.339,0.334,0.066,0.069,25.75,20,18,0,3999254,75,74,73,73,96,96,97,97,19.84,19.841,22.052,22.052,665.983,0,0,0,100,1517,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
12.345662,0.352,0.353,0.071,0.074,25.749,20,18,0,4000000,74,76,71,72,96,96,97,97,19.844,19.845,22.057,22.057,683.384,0,0,0,100,1517,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
12.842756,0.356,0.357,0.072,0.076,25.749,20,18,0,4000000,71,72,70,70,96,96,97,97,19.847,19.849,22.062,22.062,696.453,0,0,0,100,1650,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
13.345961,0.358,0.359,0.073,0.077,25.749,20,18,0,4000000,69,70,69,69,96,96,97,97,19.849,19.852,22.066,22.066,706.688,0,0,0,50,1650,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
13.842951,0.359,0.36,0.074,0.077,25.748,20,18,0,4000000,68,68,68,68,96,96,97,97,19.851,19.854,22.07,22.07,715.504,0,0,0,50,1650,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
14.3444195,0.361,0.362,0.076,0.079,25.748,20,18,0,4000000,68,67,69,68,96,96,97,97,19.852,19.855,22.073,22.073,723.866,0,0,0,50,1650,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
14.841898,0.365,0.364,0.079,0.083,25.748,20,18,0,4000000,69,67,70,68,96,96,97,97,19.854,19.856,22.076,22.076,731.766,0,0,0,50,1650,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
15.341918,0.367,0.366,0.081,0.084,25.748,20,18,0,4000000,68,68,70,67,96,96,97,97,19.855,19.857,22.08,22.078,742.56,0,0,0,50,2250,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
15.841736,0.369,0.368,0.084,0.087,25.746,20,18,0,4000000,68,67,70,68,96,96,97,97,19.857,19.858,22.083,22.081,755.233,0,0,0,366,2250,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
16.34575,0.372,0.37,0.086,0.089,25.744,20,18,0,4000000,69,67,70,68,96,96,98,97,19.858,19.859,22.086,22.083,763.039,0,0,0,366,3183,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
16.843693,0.376,0.374,0.089,0.091,25.741,20,18,0,4000000,70,68,70,68,96,96,98,98,19.86,19.859,22.089,22.085,770.875,0,0,0,366,3183,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
17.347399,0.388,0.39,0.089,0.092,25.734,20,18,0,4000000,75,76,69,67,96,96,98,98,19.862,19.862,22.092,22.087,780.625,0,0,0,366,3183,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
17.84337,0.405,0.411,0.089,0.092,25.726,20,18,0,4000000,78,80,67,67,96,96,98,98,19.868,19.868,22.093,22.088,792.792,0,0,0,366,3183,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
18.344341,0.419,0.426,0.09,0.093,25.717,20,18,0,4000000,77,78,67,68,97,97,98,98,19.873,19.874,22.094,22.089,807.53,0,0,0,550,3183,14,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
18.8464,0.429,0.437,0.095,0.099,25.708,20,18,0,4000000,74,75,68,71,97,97,98,98,19.877,19.878,22.094,22.09,824.58,0,0,0,0,3183,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
19.340342,0.437,0.448,0.104,0.109,25.7,20,18,0,3999953.8,72,75,71,74,97,97,98,98,19.88,19.882,22.095,22.092,844.725,0,0,0,0,3483,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
19.844273,0.45,0.465,0.116,0.122,25.692,20,18,0,4000000,72,76,72,74,97,97,98,98,19.882,19.885,22.097,22.095,867.217,0,0,0,0,3483,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
20.342821,0.462,0.48,0.126,0.132,25.682,20,18,0,4000000,73,77,72,74,97,97,98,98,19.883,19.888,22.098,22.097,887.726,0,0,0,0,3600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
20.841042,0.476,0.496,0.128,0.134,25.67,20,18,0,3997643.2,74,75,69,71,97,97,98,98,19.885,19.891,22.098,22.098,909.839,0,0,0,0,3600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
21.345913,0.492,0.516,0.129,0.135,25.657,20,18,0,3997804.2,74,73,68,68,97,97,98,98,19.887,19.893,22.097,22.097,936.486,0,0,0,66,3600,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
21.842056,0.519,0.543,0.138,0.14,25.643,20,18,0,3984686.2,75,77,72,67,97,97,98,98,19.889,19.895,22.095,22.095,965.932,0,0,0,66,3667,15,1,0,0,0,26,22,14,0,16,5,FALSE,0,FALSE
