Timestamp,tyre_wear_rear_left,tyre_wear_rear_right,tyre_wear_front_left,tyre_wear_front_right,fuel_in_tank,actual_tyre_compound,visual_tyre_compound,tyres_age_laps,ers_store_energy,tyre_surface_temp_rear_left,tyre_surface_temp_rear_right,tyre_surface_temp_front_left,tyre_surface_temp_front_right,tyre_inner_temp_rear_left,tyre_inner_temp_rear_right,tyre_inner_temp_front_left,tyre_inner_temp_front_right,tyre_pressure_rear_left,tyre_pressure_rear_right,tyre_pressure_front_left,tyre_pressure_front_right,lap_distance,last_lap_ms,sector_1_ms,sector_2_ms,delta_in_front_ms,delta_leader_ms,car_position,current_lap,num_pit_stops,pit_timer_active,pit_timer_ms,track_temp,air_temp,total_laps,pit_rejoin_position,starting_position,finishing_position,dnf,penalties_time,fastest_lap
0,0,0,0,0,25.478,20,18,0,4000000,61,61,62,62,100,100,101,101,20.067,20.067,22.318,22.318,131.849,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
0.20898175,0,0,0,0,25.477,20,18,0,4000000,60,60,62,62,100,100,101,101,20.054,20.054,22.307,22.307,131.849,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
0.70895463,0.014,0.014,0,0,25.475,20,18,0,4000000,69,69,61,61,100,100,101,101,20.036,20.036,22.29,22.29,132.36,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
1.2106208,0.018,0.018,0,0,25.472,20,18,0,4000000,69,69,62,62,99,99,101,101,20.02,20.02,22.272,22.272,134.49,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
1.7084838,0.024,0.024,0,0,25.469,20,18,0,4000000,71,71,62,62,99,99,100,100,20.004,20.004,22.255,22.255,138.73,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
2.2047923,0.028,0.029,0,0,25.465,20,18,0,4000000,71,71,63,63,99,99,100,100,19.989,19.99,22.239,22.239,144.82,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
2.7121246,0.042,0.044,0,0,25.458,20,18,0,4000000,76,77,64,64,98,98,100,100,19.975,19.976,22.222,22.222,153.769,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
3.2087505,0.056,0.057,0,0,25.451,20,18,0,4000000,77,77,65,65,98,98,100,100,19.964,19.964,22.206,22.206,164.823,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
3.7123818,0.067,0.069,0,0,25.442,20,18,0,4000000,77,77,66,66,98,98,99,99,19.952,19.952,22.191,22.191,178.436,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
4.2086077,0.083,0.085,0,0,25.432,20,18,0,4000000,78,78,67,67,98,98,99,99,19.94,19.941,22.177,22.177,194.641,0,0,0,0,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
4.7111716,0.097,0.098,0,0,25.419,20,18,0,4000000,76,76,67,67,98,98,99,99,19.928,19.929,22.162,22.162,213.664,0,0,0,450,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
5.210006,0.109,0.111,0,0,25.408,20,18,0,3999402.5,74,74,68,68,97,97,99,99,19.916,19.916,22.148,22.148,235.387,0,0,0,450,0,15,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
5.7102156,0.123,0.125,0,0,25.394,20,18,0,3994534.2,73,73,68,68,97,97,98,98,19.903,19.903,22.135,22.135,259.773,0,0,0,450,0,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
6.2115016,0.132,0.135,0,0,25.381,20,18,0,3994060.5,72,72,69,69,97,97,98,98,19.889,19.89,22.121,22.121,286.63,0,0,0,65503,4767,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
6.7097697,0.141,0.144,0,0,25.367,20,18,0,3987028.2,71,71,69,69,97,97,98,98,19.876,19.876,22.108,22.108,315.672,0,0,0,65503,4767,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
7.209046,0.149,0.151,0,0,25.355,20,18,0,3984475,71,71,69,69,96,96,98,98,19.862,19.863,22.095,22.095,346.591,0,0,0,17,3150,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
7.7115507,0.156,0.158,0,0,25.341,20,18,0,3975909,71,71,69,69,96,96,97,97,19.848,19.849,22.082,22.082,379.203,0,0,0,50,2283,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
8.21087,0.163,0.165,0,0,25.327,20,18,0,3967269,72,71,70,70,96,96,97,97,19.835,19.835,22.069,22.069,413.418,0,0,0,50,2283,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
8.710174,0.169,0.171,0,0,25.314,20,18,0,3963999,71,71,70,70,96,96,97,97,19.821,19.822,22.057,22.057,448.933,0,0,0,83,1966,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
9.210376,0.175,0.177,0,0,25.301,20,18,0,3955359,71,71,70,69,95,95,97,97,19.808,19.808,22.044,22.044,485.606,0,0,0,117,1784,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
9.712185,0.182,0.183,0,0,25.287,20,18,0,3946719,71,71,70,70,95,95,97,97,19.795,19.795,22.032,22.032,523.411,0,0,0,117,1784,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
10.211478,0.188,0.189,0,0,25.273,20,18,0,3938079,71,71,70,70,95,95,96,96,19.782,19.782,22.02,22.02,562.24,0,0,0,150,1683,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
10.71444,0.205,0.206,0.02,0.021,25.267,20,18,0,3960551.5,74,74,76,76,95,95,96,96,19.773,19.773,22.014,22.014,599.253,0,0,0,184,1683,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
11.209433,0.235,0.226,0.039,0.046,25.266,20,18,0,3988174.8,76,74,75,75,95,95,96,96,19.773,19.773,22.017,22.018,627.907,0,0,0,184,1616,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
11.710389,0.257,0.241,0.046,0.053,25.265,20,18,0,4000000,75,73,72,72,95,95,96,96,19.777,19.776,22.023,22.023,649.57,0,0,0,200,1616,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
12.208626,0.267,0.25,0.049,0.056,25.264,20,18,0,4000000,74,73,71,71,95,95,97,97,19.781,19.779,22.028,22.028,666.072,0,0,0,200,1616,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
12.712008,0.273,0.257,0.051,0.058,25.264,20,18,0,4000000,72,72,70,70,95,95,97,97,19.785,19.783,22.032,22.032,677.947,0,0,0,200,1616,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
13.215019,0.275,0.258,0.052,0.059,25.263,20,18,0,4000000,70,69,69,69,95,95,97,97,19.789,19.787,22.037,22.037,686.618,0,0,0,200,1900,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
13.711015,0.277,0.261,0.052,0.059,25.26,20,18,0,4000000,69,69,68,68,95,95,97,97,19.791,19.789,22.04,22.04,695.704,0,0,0,200,1900,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
14.215047,0.279,0.262,0.055,0.061,25.26,20,18,0,4000000,68,68,68,68,95,95,97,97,19.794,19.792,22.044,22.044,703.188,0,0,0,233,1900,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
14.711714,0.279,0.262,0.055,0.061,25.258,20,18,0,4000000,67,67,67,67,95,95,97,97,19.796,19.794,22.047,22.047,710.249,0,0,0,233,1900,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
15.215093,0.279,0.263,0.055,0.061,25.257,20,18,0,4000000,66,66,67,66,95,95,97,97,19.797,19.795,22.049,22.049,717.407,0,0,0,233,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
15.711638,0.28,0.263,0.056,0.062,25.257,20,18,0,4000000,66,66,67,66,95,95,97,97,19.798,19.796,22.052,22.051,724.547,0,0,0,233,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
16.21204,0.281,0.263,0.057,0.063,25.257,20,18,0,4000000,66,65,68,66,95,95,97,97,19.799,19.796,22.054,22.053,730.781,0,0,0,233,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
16.712046,0.284,0.265,0.061,0.066,25.255,20,18,0,4000000,67,66,69,67,95,95,97,97,19.8,19.797,22.056,22.055,737.795,0,0,0,233,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
17.21297,0.287,0.268,0.065,0.069,25.252,20,18,0,4000000,68,68,71,68,95,95,97,97,19.801,19.798,22.059,22.056,749.258,0,0,0,400,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
17.710505,0.291,0.272,0.071,0.073,25.25,20,18,0,4000000,69,69,73,68,95,95,97,97,19.803,19.799,22.062,22.058,760.446,0,0,0,400,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
18.214418,0.296,0.277,0.073,0.075,25.245,20,18,0,4000000,71,69,71,68,95,95,97,97,19.805,19.801,22.066,22.06,770.291,0,0,0,400,3366,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
18.712328,0.308,0.293,0.074,0.077,25.238,20,18,0,4000000,74,75,70,68,95,95,97,97,19.808,19.804,22.068,22.061,782.03,0,0,0,400,4566,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
19.213135,0.312,0.298,0.074,0.077,25.231,20,18,0,4000000,72,72,68,68,95,95,97,97,19.812,19.808,22.069,22.061,795.99,0,0,0,400,4566,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
19.711645,0.317,0.304,0.077,0.08,25.224,20,18,0,4000000,71,71,68,70,95,95,97,97,19.814,19.811,22.07,22.062,811.809,0,0,0,516,4566,16,1,0,0,0,29,24,14,0,15,7,FALSE,0,TRUE
